concept,F0,F102,F22,F24,F51,F53,F75,G0,G102,G22,G24,G51,G53,G75,M0,M102,M22,M24,M51,M53,M75,P0,P102,P22,P24,P51,P53,P75,S0,S102,S22,S24,S51,S53,S75
far,0.4189189189189189,0.3885135135135135,0.36824324324324326,0.34121621621621623,0.34121621621621623,0.3952702702702703,0.34459459459459457,0.34121621621621623,0.3885135135135135,0.4020270270270271,0.38175675675675674,0.3344594594594595,0.3614864864864865,0.3716216216216216,0.31756756756756754,0.32432432432432434,0.32291666666666663,0.3784722222222222,0.3783783783783784,0.4121621621621621,0.32432432432432434,0.37162162162162166,0.33783783783783783,0.34797297297297297,0.44932432432432434,0.3547297297297297,0.36824324324324326,0.40202702702702703,0.3479729729729729,0.3445945945945946,0.3344594594594595,0.35135135135135137,0.4155405405405405,0.33783783783783783,0.28125
fearful,0.15,0.3645833333333333,0.32857142857142857,0.2152777777777778,0.2673611111111111,0.17708333333333331,0.3125,0.1701388888888889,0.4201388888888889,0.35416666666666663,0.2777777777777778,0.3263888888888889,0.22916666666666666,0.32291666666666663,0.1840277777777778,0.3993055555555556,0.1875,0.2152777777777778,0.23611111111111108,0.2222222222222222,0.28125,0.10416666666666666,0.5347222222222222,0.59375,0.48611111111111105,0.4642857142857143,0.3229166666666667,0.48958333333333337,0.32291666666666663,0.2881944444444444,0.3263888888888889,0.325,0.3472222222222222,0.3263888888888889,0.3576388888888889
field,0.3472222222222222,0.5138888888888888,0.5607142857142857,0.5107142857142857,0.4826388888888889,0.39285714285714285,0.4375,0.18055555555555555,0.4201388888888889,0.3472222222222222,0.21785714285714286,0.3159722222222222,0.24642857142857144,0.3368055555555556,0.53125,0.5520833333333334,0.5590277777777778,0.5486111111111112,0.6076388888888888,0.5381944444444444,0.5590277777777778,0.2326388888888889,0.42708333333333337,0.4357142857142857,0.4756944444444444,0.38541666666666663,0.4131944444444444,0.4756944444444444,0.1076388888888889,0.24305555555555555,0.2951388888888889,0.20833333333333331,0.14930555555555555,0.1909722222222222,0.18055555555555555
fish,0.47635135135135137,0.22972972972972974,0.27364864864864863,0.34121621621621623,0.2702702702702703,0.32432432432432434,0.30405405405405406,0.6875,0.5574324324324325,0.7128378378378378,0.7668918918918919,0.6006944444444444,0.7567567567567568,0.6993243243243243,0.05067567567567568,0.13194444444444445,0.05743243243243243,0.02430555555555556,0.125,0.04391891891891893,0.10472972972972973,0.3888888888888889,0.47635135135135137,0.4201388888888889,0.5067567567567568,0.41216216216216217,0.4966216216216216,0.46283783783783783,0.7905405405405406,0.7195945945945946,0.6891891891891891,0.793918918918919,0.7430555555555556,0.78125,0.7331081081081081
frog,0.5304054054054054,0.31081081081081086,0.3055555555555556,0.3952702702702703,0.26351351351351354,0.3547297297297297,0.35135135135135137,0.6319444444444444,0.5571428571428572,0.6452702702702703,0.7128378378378378,0.5208333333333334,0.7364864864864865,0.7297297297297297,0.08783783783783784,0.17905405405405406,0.06418918918918919,0.06756756756756757,0.11824324324324324,0.10472972972972974,0.16891891891891894,0.375,0.4340277777777778,0.32432432432432434,0.4560810810810811,0.2986111111111111,0.4864864864864865,0.43918918918918914,0.7871621621621622,0.7635135135135135,0.7638888888888888,0.831081081081081,0.75,0.8175675675675675,0.793918918918919
grape,0.5138888888888888,0.22569444444444448,0.20833333333333331,0.23263888888888892,0.16428571428571428,0.3020833333333333,0.24305555555555552,0.5451388888888888,0.2785714285714286,0.32986111111111105,0.38541666666666663,0.3368055555555556,0.4965277777777778,0.40972222222222215,0.16319444444444445,0.1701388888888889,0.10763888888888888,0.10416666666666666,0.13888888888888892,0.10416666666666666,0.175,0.4444444444444444,0.16319444444444445,0.12152777777777778,0.1875,0.13194444444444445,0.1875,0.19791666666666669,0.5243055555555556,0.4201388888888889,0.3125,0.46875,0.3680555555555556,0.4756944444444444,0.5034722222222222
greed,0.1388888888888889,0.3159722222222222,0.3611111111111111,0.30208333333333337,0.3472222222222222,0.1736111111111111,0.3321428571428572,0.1840277777777778,0.6180555555555556,0.36458333333333337,0.38541666666666663,0.44791666666666663,0.2881944444444444,0.3784722222222222,0.18402777777777776,0.375,0.21180555555555555,0.28125,0.30208333333333337,0.2534722222222222,0.3125,0.1840277777777778,0.6354166666666666,0.6944444444444444,0.6214285714285714,0.5347222222222222,0.375,0.5520833333333334,0.40277777777777785,0.4305555555555556,0.4444444444444444,0.3928571428571429,0.32638888888888895,0.32986111111111105,0.5
happy,0.5347222222222222,0.33333333333333337,0.3680555555555556,0.45833333333333337,0.3958333333333333,0.45486111111111105,0.43402777777777785,0.5138888888888888,0.20833333333333331,0.33333333333333337,0.3680555555555556,0.3090277777777778,0.4201388888888889,0.32142857142857145,0.5428571428571428,0.3576388888888889,0.4652777777777778,0.5104166666666666,0.42142857142857143,0.5694444444444444,0.4131944444444444,0.45138888888888895,0.1875,0.19642857142857145,0.2013888888888889,0.1701388888888889,0.26041666666666663,0.2048611111111111,0.40625,0.3680555555555556,0.33333333333333337,0.34375,0.3263888888888889,0.3645833333333333,0.4270833333333333
hurricane,0.3055555555555556,0.3194444444444444,0.21875,0.2673611111111111,0.28125,0.2638888888888889,0.2916666666666667,0.34375,0.33333333333333337,0.4201388888888889,0.4409722222222222,0.4131944444444444,0.3506944444444444,0.39583333333333337,0.22569444444444448,0.2916666666666667,0.25,0.22916666666666669,0.25,0.27083333333333337,0.32291666666666663,0.19444444444444445,0.3107142857142857,0.24652777777777776,0.28214285714285714,0.3298611111111111,0.25,0.3020833333333333,0.4618055555555556,0.5034722222222222,0.5069444444444444,0.5,0.5416666666666667,0.4722222222222222,0.5416666666666666
justice,0.41666666666666663,0.33333333333333337,0.3571428571428571,0.3993055555555556,0.36428571428571427,0.36458333333333337,0.3819444444444444,0.525,0.37142857142857144,0.4131944444444444,0.42708333333333337,0.3784722222222222,0.4618055555555556,0.4236111111111111,0.36458333333333337,0.35,0.4201388888888889,0.4201388888888889,0.4027777777777778,0.4027777777777778,0.38541666666666663,0.5678571428571428,0.2986111111111111,0.3368055555555556,0.3680555555555555,0.375,0.4097222222222222,0.35416666666666663,0.34722222222222215,0.2569444444444444,0.35416666666666663,0.3715277777777778,0.30208333333333337,0.3159722222222222,0.28928571428571426
leisure,0.5919117647058824,0.5757575757575758,0.5698529411764706,0.6507352941176471,0.5698529411764706,0.6727941176470589,0.6287878787878788,0.3897058823529412,0.31985294117647056,0.3382352941176471,0.40441176470588236,0.3345588235294118,0.375,0.3382352941176471,0.5698529411764706,0.5441176470588235,0.5294117647058824,0.5946969696969697,0.5265151515151515,0.6212121212121212,0.5477941176470589,0.375,0.23529411764705882,0.2316176470588235,0.23529411764705882,0.2426470588235294,0.26136363636363635,0.29411764705882354,0.5955882352941176,0.6617647058823529,0.5946969696969697,0.6363636363636364,0.625,0.6397058823529411,0.6102941176470589
